OID_,species,date,latitude,longitude
40,Pronghorn,3/26/2020 0:00:00,35.090870500000001,-119.580530300000007
41,Pronghorn,12/8/2016 0:00:00,35.131399999999999,-119.752121700000004
42,Pronghorn,4/15/2020 0:00:00,35.170833330000001,-119.844936700000005
43,Pronghorn,4/15/2020 0:00:00,35.151516669999999,-119.803108300000005
44,Pronghorn,4/8/2017 0:00:00,35.170323179999997,-119.836552900000001
45,Pronghorn,3/20/2020 0:00:00,35.218106419999998,-119.732078200000004
46,Pronghorn,5/18/2008 0:00:00,35.163536720000003,-119.822716600000007
47,Pronghorn,7/22/2020 0:00:00,35.187864070000003,-119.848030499999993
48,Pronghorn,5/26/2009 0:00:00,35.115978200000001,-119.778574800000001
49,Pronghorn,5/2/2020 0:00:00,35.163508329999999,-119.825461700000005
50,Pronghorn,10/16/2020 0:00:00,35.187529009999999,-119.843953900000002
51,Pronghorn,3/3/2017 0:00:00,35.059957369999999,-119.539437399999997
52,Pronghorn,1/31/2021 0:00:00,35.143722500000003,-119.767866499999997
53,Pronghorn,4/13/2019 0:00:00,35.191766170000001,-119.856217200000003
54,Pronghorn,2/16/2007 0:00:00,35.238107030000002,-119.903300500000000
55,Pronghorn,3/14/2021 0:00:00,35.152030619999998,-119.775824000000000
56,Pronghorn,3/21/2021 0:00:00,35.138519500000001,-119.740271699999994
57,Pronghorn,3/22/2021 0:00:00,35.189909299999997,-119.863298000000000
58,Pronghorn,3/27/2021 0:00:00,35.140739570000001,-119.754282399999994
59,Pronghorn,3/27/2021 0:00:00,35.151936169999999,-119.804046700000001
60,Pronghorn,3/26/2021 0:00:00,35.018911000000003,-119.587114999999997
61,Pronghorn,4/2/2021 0:00:00,35.083220570000002,-119.678993800000001
62,Pronghorn,4/13/2021 0:00:00,35.208324540000000,-119.867906099999999
63,Pronghorn,4/29/2021 0:00:00,35.122482970000000,-119.745457900000005
64,Pronghorn,9/17/2008 0:00:00,35.189863760000001,-119.863297099999997
65,Pronghorn,9/10/2021 0:00:00,35.174233330000000,-119.844877800000006
66,Pronghorn,1/25/2022 0:00:00,35.165986169999996,-119.828170000000000
67,American Pronghorn,1/25/2022 0:00:00,35.172280559999997,-119.824047199999995
68,Pronghorn,5/15/2021 0:00:00,35.091931660000000,-119.844859999999997
69,Pronghorn,2/13/2022 0:00:00,35.166141379999999,-119.810603599999993
70,Pronghorn,2/26/2022 0:00:00,35.189863899999999,-119.863297200000005
71,Pronghorn,3/15/2022 0:00:00,35.176701170000001,-119.842775799999998
72,Pronghorn,3/11/2022 0:00:00,35.182804169999997,-119.845556299999998
73,Pronghorn,3/20/2022 0:00:00,35.125933330000002,-119.691528300000002
74,Pronghorn,3/26/2022 0:00:00,35.052366380000002,-119.606311399999996
75,Pronghorn,3/25/2022 0:00:00,35.034041790000003,-119.554773299999994
76,Pronghorn,3/25/2022 0:00:00,35.162330560000001,-119.823330600000006
77,Pronghorn,3/29/2022 0:00:00,35.155513120000002,-119.831083899999996
78,Pronghorn,5/24/2022 0:00:00,35.165097170000003,-119.827719999999999
79,Pronghorn,5/25/2022 0:00:00,35.164876499999998,-119.824944599999995
80,Pronghorn,6/30/2022 0:00:00,35.154607429999999,-119.806638500000005
81,Pronghorn,9/14/2022 0:00:00,35.181115509999998,-119.871419900000006
82,Pronghorn,7/23/2022 0:00:00,35.122669469999998,-119.693489200000002
83,Pronghorn,10/22/2022 0:00:00,35.166972219999998,-119.844944400000003
84,Pronghorn,11/5/2022 0:00:00,35.146616670000000,-119.791908300000003
85,Pronghorn,11/9/2022 0:00:00,35.172479189999997,-119.836117400000006
86,Pronghorn,2/4/2023 0:00:00,35.154541279999997,-119.801715799999997
87,Pronghorn,3/31/2023 0:00:00,35.165695040000003,-119.834689499999996
88,Pronghorn,3/30/2008 0:00:00,35.169947960000002,-119.819110300000006
89,Pronghorn,3/30/2008 0:00:00,35.173612900000002,-119.800934200000000
90,Pronghorn,4/8/2023 0:00:00,35.077208329999998,-119.560424999999995
91,Pronghorn,4/13/2023 0:00:00,35.270379620000000,-119.827194800000001
92,Pronghorn,2/19/2020 0:00:00,35.221561489999999,-119.863048800000001
93,Pronghorn,4/19/2023 0:00:00,35.105359819999997,-119.658164400000004
94,Pronghorn,4/20/2023 0:00:00,35.151174910000002,-119.610661199999996
95,Pronghorn,5/12/2023 0:00:00,35.075506300000001,-119.661096799999996
96,Pronghorn,5/25/2023 0:00:00,35.066936169999998,-119.636605000000003
97,Pronghorn,5/23/2023 0:00:00,35.097362390000001,-119.730056099999999
98,Pronghorn,6/25/2023 0:00:00,35.146173910000002,-119.779136800000003
99,Pronghorn,7/19/2023 0:00:00,35.170068329999999,-119.822337599999997
100,Pronghorn,8/25/2023 0:00:00,35.144494539999997,-119.769599099999994
101,Pronghorn,10/2/2023 0:00:00,35.158499999999997,-119.817208300000004
102,Pronghorn,10/4/2023 0:00:00,35.146183120000003,-119.781487200000001
103,Pronghorn,10/2/2023 0:00:00,35.157164240000000,-119.813322299999996
104,Pronghorn,10/5/2023 0:00:00,35.143013830000001,-119.773803299999997
105,Pronghorn,10/5/2023 0:00:00,35.149600000000000,-119.773689000000005
106,Pronghorn,10/25/2023 0:00:00,35.146237319999997,-119.789878900000005
107,Pronghorn,4/9/2013 0:00:00,35.189863899999999,-119.863297200000005
108,Pronghorn,12/20/2023 0:00:00,35.151644539999999,-119.773750100000001
109,Pronghorn,1/19/2024 0:00:00,35.136188830000002,-119.773888299999996
110,Pronghorn,2/15/2024 0:00:00,35.161566669999999,-119.835341700000001
111,Pronghorn,2/15/2024 0:00:00,35.162708330000001,-119.837355599999995
112,Pronghorn,3/27/2024 0:00:00,35.123308989999998,-119.739924599999995
113,Pronghorn,3/29/2024 0:00:00,35.114175000000003,-119.614983300000006
114,Pronghorn,4/1/2024 0:00:00,35.193577619999999,-119.742900899999995
115,Pronghorn,4/3/2024 0:00:00,35.065699270000003,-119.629644799999994
116,Pronghorn,4/5/2024 0:00:00,35.088553570000002,-119.701354600000002
117,Pronghorn,4/3/2024 0:00:00,35.031288830000001,-119.486554999999996
118,Pronghorn,4/10/2024 0:00:00,35.164756560000001,-119.822950000000006
119,Pronghorn,4/10/2024 0:00:00,35.159606840000002,-119.812185200000002
120,Pronghorn,4/22/2024 0:00:00,35.184513180000003,-119.847308100000006
121,Pronghorn,4/17/2024 0:00:00,35.153106549999997,-119.791534499999997
122,Pronghorn,4/25/2024 0:00:00,35.158677249999997,-119.804934099999997
