species,date,latitude,longitude
Pronghorn,30/12/2018,35.15405003,-119.788745
Pronghorn,19/01/2019,41.34614038,-120.5637225
Pronghorn,07/06/2018,40.68886133,-120.6674012
Pronghorn,21/02/2019,41.32852275,-120.5620658
Pronghorn,24/06/2018,41.10886947,-121.1218277
Pronghorn,10/04/2008,35.06762858,-119.6510739
Pronghorn,05/11/2005,34.937615,-119.49708
Pronghorn,05/07/2017,41.28373997,-120.0997897
Pronghorn,24/03/2019,35.32892012,-120.0066146
Pronghorn,23/03/2019,35.17910333,-119.844895
Pronghorn,30/03/2019,35.31708154,-119.726803
Pronghorn,02/04/2019,35.26706559,-119.9387786
Pronghorn,08/04/2019,35.07585524,-119.6309582
Pronghorn,08/04/2019,35.1898639,-119.8632972
Pronghorn,15/09/2010,35.204283,-119.863083
Pronghorn,13/04/2019,35.3312083,-120.0013314
Pronghorn,19/01/2009,35.2411496,-119.849745
Pronghorn,19/01/2009,35.38946518,-120.0938174
Pronghorn,21/04/2019,35.78347287,-120.334736
Pronghorn,14/04/2019,41.66511357,-121.3267729
Pronghorn,13/04/2019,41.39985118,-120.5598237
Pronghorn,05/05/2019,35.31634494,-119.9977147
Pronghorn,27/04/2019,37.26447644,-117.7949762
Pronghorn,03/05/2019,35.201131,-119.858757
Pronghorn,19/04/2019,35.25850203,-119.9290788
Pronghorn,01/04/2019,35.26980022,-119.9383936
Pronghorn,21/04/2019,34.85452095,-118.6533858
Pronghorn,22/05/2019,40.58096174,-121.0821995
Pronghorn,21/06/2015,41.40129865,-120.5561276
Pronghorn,02/09/2016,35.18995751,-119.8317261
Pronghorn,27/05/2019,35.31816333,-120.0001833
Pronghorn,27/05/2019,35.31816333,-120.0001833
Pronghorn,06/06/2019,41.17595333,-120.8658633
Pronghorn,31/05/2019,37.24599593,-117.8034739
Pronghorn,11/06/2019,40.93345333,-120.54905
Pronghorn,06/06/2019,41.33566509,-120.5915268
Pronghorn,30/06/2019,41.15825845,-121.0873856
Pronghorn,05/07/2019,41.43533056,-120.5473167
Pronghorn,15/07/2019,40.54963709,-120.566579
Pronghorn,09/05/1984,41.758837,-121.5266641
Pronghorn,12/11/2017,35.1584366,-119.8219169
Pronghorn,04/06/2006,38.20739581,-119.0147589
Pronghorn,14/08/2019,35.35297856,-120.0069677
Pronghorn,30/05/2004,38.31363382,-119.1152877
Pronghorn,08/04/2015,40.69346323,-121.2321438
Pronghorn,21/09/2019,39.41527778,-122.1944444
Pronghorn,21/09/2019,39.41578685,-122.1974126
Pronghorn,19/09/2019,39.4146243,-122.1950139
Pronghorn,16/05/2019,35.25612169,-119.9734165
Pronghorn,24/04/2019,34.87559439,-118.6642398
Pronghorn,01/10/2019,41.74087167,-121.799225
American Pronghorn,17/05/2016,40.53943877,-121.013233
American Pronghorn,09/07/2016,40.56034116,-121.0318864
American Pronghorn,29/07/2016,40.57235184,-121.0529655
Pronghorn,21/10/2019,41.27505833,-120.0927361
Pronghorn,06/05/2018,35.25460126,-119.9259868
Pronghorn,30/06/2017,40.33992462,-120.2904375
Pronghorn,05/07/2017,41.52941974,-121.132979
Pronghorn,18/05/2013,34.86184774,-118.6721303
Pronghorn,07/05/2014,34.90477925,-118.5235025
Pronghorn,21/11/2019,41.73546667,-121.2442167
Pronghorn,29/07/2018,40.71948447,-120.6565855
American Pronghorn,19/12/2013,35.1898639,-119.8632972
Pronghorn,21/04/2018,35.85824614,-120.3874251
Pronghorn,23/01/2020,35.0810583,-119.6628872
Pronghorn,11/02/2020,41.76559113,-122.3569569
Pronghorn,10/02/2020,35.15551696,-119.7802327
Pronghorn,10/02/2020,37.08008889,-117.4613111
Pronghorn,27/02/2020,34.81787833,-118.6467217
Pronghorn,13/02/2020,35.17973431,-119.804229
Pronghorn,01/03/2020,35.03145578,-119.6336598
Pronghorn,20/08/2014,34.77481824,-118.7655288
Pronghorn,27/03/2010,35.1898639,-119.8632972
Pronghorn,05/03/2020,40.73305228,-121.0776928
Pronghorn,13/03/2020,34.9683672,-119.7265917
Pronghorn,01/01/2020,35.82487072,-120.3850138
Pronghorn,26/03/2020,35.0908705,-119.5805303
Pronghorn,08/12/2016,35.1314,-119.7521217
Pronghorn,05/04/2020,35.29302167,-119.9187383
Pronghorn,01/04/2020,35.3503511,-120.0380518
Pronghorn,08/04/2020,39.56919237,-122.2500074
Pronghorn,25/07/2019,35.35609049,-119.9548056
Pronghorn,15/04/2020,35.17083333,-119.8449367
Pronghorn,15/04/2020,35.15151667,-119.8031083
Pronghorn,06/03/2020,41.88192833,-120.0250555
Pronghorn,21/04/2020,36.61793814,-117.1687373
Pronghorn,13/03/2020,40.7333754,-121.0776599
Pronghorn,15/04/2020,40.75841262,-121.0919507
Pronghorn,19/04/2020,35.95808425,-120.5454261
Pronghorn,08/04/2017,35.17032318,-119.8365529
Pronghorn,20/03/2020,35.21810642,-119.7320782
Pronghorn,01/05/2020,41.75018763,-122.363028
Pronghorn,10/05/2020,39.74790212,-120.3046953
Pronghorn,13/05/2020,40.73319532,-121.077574
Pronghorn,12/09/2019,35.53867388,-121.0540837
American Pronghorn,15/05/2020,39.7561147,-120.3570652
Pronghorn,18/05/2008,35.16353672,-119.8227166
Pronghorn,22/06/2020,40.58733889,-120.9846556
Pronghorn,22/06/2020,39.75815136,-120.3514323
Pronghorn,26/06/2020,40.44289444,-120.906675
Pronghorn,02/07/2020,39.7347417,-120.3035006
Pronghorn,25/06/2020,39.76285,-120.3395278
Pronghorn,30/06/2020,39.762845,-120.34381
Pronghorn,05/07/2020,41.8421324,-120.0213557
Pronghorn,12/04/2014,34.85284935,-118.6195325
Pronghorn,16/07/2020,39.807058,-120.032976
Pronghorn,04/07/2020,41.35604333,-120.5641433
Pronghorn,22/07/2020,35.18786407,-119.8480305
Pronghorn,24/07/2020,41.99347,-120.0062556
Pronghorn,26/05/2009,35.1159782,-119.7785748
Pronghorn,31/07/2020,41.8663232,-122.0172482
Pronghorn,14/08/2020,38.25107403,-119.0670131
Pronghorn,13/08/2020,37.928098,-118.5922525
Pronghorn,15/08/2020,40.6958365,-120.6714502
Pronghorn,21/08/2020,38.16260667,-119.1454117
Pronghorn,05/08/2020,40.34139912,-120.2885057
Pronghorn,24/03/2019,35.26912163,-119.9435028
Pronghorn,02/05/2020,35.16350833,-119.8254617
Pronghorn,05/05/2012,34.87678182,-118.890036
Pronghorn,16/10/2020,35.18752901,-119.8439539
Pronghorn,03/03/2017,35.05995737,-119.5394374
Pronghorn,08/09/2020,41.71024882,-120.3684381
Pronghorn,14/11/2020,35.342436,-120.004611
Pronghorn,20/11/2020,35.31300236,-119.7149302
Pronghorn,27/11/2020,41.17070302,-120.9831633
Pronghorn,12/08/2019,35.89053669,-120.4355623
Pronghorn,26/12/2020,35.83658583,-120.3773024
Pronghorn,23/05/2020,39.8105564,-120.2167619
Pronghorn,05/09/2020,37.93253856,-118.6159972
Pronghorn,25/07/2019,35.3631605,-119.9882788
Pronghorn,12/06/2019,40.66128197,-120.657611
Pronghorn,31/01/2021,35.1437225,-119.7678665
Pronghorn,02/10/2011,34.83534894,-118.6969469
Pronghorn,11/02/2021,41.85095717,-121.907629
Pronghorn,26/02/2021,39.78839701,-120.0896887
Pronghorn,13/04/2019,35.19176617,-119.8562172
Pronghorn,07/03/2021,41.90643,-121.9556667
Pronghorn,17/03/2021,35.110168,-118.338828
Pronghorn,04/03/2021,40.47432952,-120.2759871
Pronghorn,16/02/2007,35.23810703,-119.9033005
Pronghorn,14/03/2021,35.15203062,-119.775824
Pronghorn,21/03/2021,35.1385195,-119.7402717
Pronghorn,21/03/2021,35.313155,-119.9941867
Pronghorn,22/03/2021,35.1899093,-119.863298
Pronghorn,27/03/2021,35.14073957,-119.7542824
Pronghorn,27/03/2021,35.15193617,-119.8040467
Pronghorn,29/03/2021,39.78445597,-120.073352
Pronghorn,26/03/2021,35.018911,-119.587115
Pronghorn,02/04/2021,35.08322057,-119.6789938
Pronghorn,03/04/2021,35.28208761,-119.9055062
Pronghorn,07/04/2021,39.75591674,-120.3592324
Pronghorn,13/04/2021,41.94585833,-121.9288333
Pronghorn,13/04/2021,35.20832454,-119.8679061
Pronghorn,15/04/2021,35.30776345,-119.9874995
Pronghorn,15/04/2021,35.30776065,-119.9875109
Pronghorn,17/04/2021,34.77943254,-118.6951485
Pronghorn,20/04/2021,39.80943333,-120.2203967
Pronghorn,01/04/2021,41.82141654,-122.4404197
Pronghorn,28/04/2021,35.841992,-120.3781897
Pronghorn,30/04/2020,40.61307573,-121.1056807
Pronghorn,05/05/2021,40.72213667,-120.687395
Pronghorn,29/04/2021,35.12248297,-119.7454579
Pronghorn,12/06/2015,41.33928329,-120.4754177
Pronghorn,17/09/2008,35.18986376,-119.8632971
Pronghorn,19/05/2021,37.46571344,-117.9106792
Pronghorn,23/05/2021,40.68070402,-120.1238169
Pronghorn,16/06/2020,39.9863489,-120.4746602
Pronghorn,25/05/2018,35.34415191,-120.0461258
Pronghorn,23/05/2021,41.1459666,-121.1013182
Pronghorn,25/04/2021,35.41433215,-120.1025986
Pronghorn,09/06/2021,39.73368667,-120.24939
Pronghorn,09/06/2021,39.73368667,-120.2493933
