species ,date,latitude,longitude
Tule Elk,05/10/2016,38.017769,-122.9912711
Tule Elk,07/10/2016,37.1805068,-120.8131366
Tule Elk,21/05/2016,38.12956058,-122.9501438
Tule Elk,17/02/2018,38.03887893,-122.9830169
Tule Elk,04/03/2018,37.22653546,-121.715924
Tule Elk,19/03/2018,38.03351845,-122.9874721
Tule Elk,21/03/2018,39.69576076,-123.4932503
Tule Elk,22/03/2018,38.03652653,-122.9774842
Tule Elk,17/03/2018,39.00644104,-122.5597225
Tule Elk,21/10/2017,38.072285,-122.881737
Tule Elk,24/03/2018,38.18770603,-122.9608592
Tule Elk,25/03/2018,37.1775077,-120.8025854
Tule Elk,25/03/2018,38.08116667,-122.91427
Tule Elk,29/03/2018,37.05758941,-121.0639123
Tule Elk,19/03/2018,37.084011,-121.100708
Tule Elk,19/03/2018,37.081272,-121.105515
Tule Elk,22/12/2017,38.21213833,-122.973105
Tule Elk,30/03/2018,38.07937083,-122.9140933
Tule Elk,05/04/2018,35.162783,-119.823815
Tule Elk,13/04/2018,36.24275215,-120.9031578
Tule Elk,25/06/2017,38.19178363,-122.9550362
Tule Elk,03/12/2017,38.19847086,-122.9618368
Tule Elk,17/04/2018,38.23658833,-122.9912867
Tule Elk,04/04/2018,38.0722847,-122.8817367
Tule Elk,30/09/2017,38.0470096,-122.9716873
Tule Elk,17/04/2018,38.207395,-122.9675833
Tule Elk,21/04/2018,38.18403763,-122.9560406
Tule Elk,27/04/2018,38.18299048,-122.9514227
Tule Elk,27/04/2018,38.18649865,-122.9530106
Tule Elk,28/10/2017,38.22243,-122.977395
Tule Elk,23/04/2018,38.15481821,-122.9361256
Tule Elk,27/04/2018,38.18733136,-122.9582977
Tule Elk,18/03/2018,38.22094722,-122.9755111
Tule Elk,30/04/2018,38.03665278,-122.8799944
Tule Elk,04/05/2018,39.29221667,-123.0725555
Tule Elk,05/05/2018,38.17278856,-122.9393916
Tule Elk,02/10/2016,38.045117,-122.9742622
Tule Elk,08/05/2018,38.02337995,-122.9868201
Tule Elk,07/05/2018,38.025376,-122.982801
Tule Elk,11/05/2018,35.3239869,-119.7502319
Tule Elk,27/04/2018,39.46046361,-123.339055
Tule Elk,13/05/2018,35.74689365,-120.297924
Tule Elk,10/05/2018,35.33135366,-119.3656168
Tule Elk,16/03/2017,38.0403165,-122.9661661
Tule Elk,20/05/2018,38.18391037,-122.955986
Tule Elk,14/04/2018,38.18518701,-122.9542768
Tule Elk,22/09/2011,38.07181354,-122.9661291
Tule Elk,02/06/2018,38.07766599,-122.9078133
Tule Elk,24/03/2018,39.00918663,-122.5618719
Tule Elk,10/06/2018,38.08289259,-122.9113494
Tule Elk,14/06/2018,35.33130295,-119.3641614
Tule Elk,14/06/2018,37.04792254,-121.2419976
Tule Elk,30/06/2018,38.22289959,-122.9753668
Tule Elk,30/06/2018,38.04210011,-122.9633616
Tule Elk,01/07/2018,38.20188522,-122.9636307
Tule Elk,30/06/2018,38.18127833,-122.9486
Tule Elk,30/06/2018,38.11637696,-122.9005542
Tule Elk,26/05/2018,38.18292783,-122.9544278
Tule Elk,26/05/2018,38.17962227,-122.9426347
Tule Elk,27/01/2018,38.1836066,-122.9576378
Tule Elk,27/01/2018,38.17746433,-122.9418112
Tule Elk,07/01/2018,38.09156419,-122.9104856
Tule Elk,04/07/2018,38.04089355,-122.9668884
Tule Elk,27/12/2013,37.18152307,-120.7981222
Tule Elk,23/06/2010,37.1775077,-120.8025854
Tule Elk,19/08/2017,38.0722847,-122.8817367
Tule Elk,15/07/2018,38.034175,-122.962905
Tule Elk,16/03/2015,37.061182,-121.0636985
Tule Elk,27/07/2012,37.22913993,-120.8247459
Tule Elk,28/12/2012,37.1775077,-120.8025854
Tule Elk,21/07/2018,37.09099405,-121.0152738
Tule Elk,05/07/2018,38.03367217,-122.96277
Tule Elk,17/07/2018,38.21941036,-122.9755235
Tule Elk,17/07/2018,38.04602617,-122.971166
Tule Elk,17/07/2018,38.17644005,-122.941592
Tule Elk,22/04/2007,37.99608889,-122.9789583
Tule Elk,03/08/2018,37.04094717,-121.0622778
Tule Elk,03/08/2018,38.03788029,-122.8558799
Tule Elk,27/07/2018,37.04853674,-121.2385221
Tule Elk,17/08/2018,38.0346305,-122.963195
Tule Elk,16/08/2018,38.18256095,-122.9564842
Tule Elk,27/07/2012,37.1775077,-120.8025854
Tule Elk,01/04/2018,35.71947833,-121.307245
Tule Elk,28/08/2018,38.19782392,-122.9615578
Tule Elk,28/08/2018,38.19782392,-122.9615578
Tule Elk,28/08/2018,38.19782392,-122.9615578
Tule Elk,28/08/2018,38.19782392,-122.9615578
Tule Elk,01/09/2018,38.20020055,-122.960894
Tule Elk,04/08/2018,38.23483499,-122.989138
Tule Elk,04/08/2018,38.21109833,-122.9716333
Tule Elk,04/08/2018,38.19806,-122.962365
Tule Elk,01/09/2018,34.98854828,-119.1819611
Tule Elk,02/09/2018,38.05106553,-122.8740762
Tule Elk,03/09/2018,38.20149333,-122.9628367
Tule Elk,01/09/2018,38.19388839,-122.9508219
Tule Elk,03/09/2018,38.18474216,-122.9532457
Tule Elk,25/08/2018,38.1904852,-122.9587578
Tule Elk,25/08/2018,38.18279434,-122.9507471
Tule Elk,20/01/2018,38.04395147,-122.9677278
Tule Elk,15/09/2018,37.17711667,-120.81253
Tule Elk,15/09/2018,37.18997833,-120.8154667
Tule Elk,15/09/2018,37.182295,-120.8202933
Tule Elk,27/12/2013,37.17557348,-120.809366
Tule Elk,03/08/2018,38.21889578,-122.9758819
Tule Elk,22/09/2018,38.0722847,-122.8817367
Tule Elk,19/09/2018,37.04831268,-121.2389497
Tule Elk,30/09/2018,38.16086792,-122.9423298
Tule Elk,05/10/2018,38.036903,-122.964484
Tule Elk,05/10/2018,38.036903,-122.963484
Tule Elk,26/06/2018,38.20572402,-122.9644863
Tule Elk,26/06/2018,38.21434972,-122.9740919
Tule Elk,06/10/2018,37.1775077,-120.8025854
Tule Elk,06/02/2011,38.10413529,-122.8958393
Tule Elk,12/10/2018,38.22047806,-122.9757614
Tule Elk,13/10/2018,38.08123141,-122.9088765
Tule Elk,20/10/2018,37.05990473,-121.1631929
Tule Elk,23/10/2018,38.2326968,-122.9874998
Tule Elk,23/10/2018,38.23589343,-122.9901606
Tule Elk,27/10/2018,38.18306826,-122.9536202
Tule Elk,27/10/2018,38.18309007,-122.9549721
Tule Elk,27/07/2012,37.18234281,-120.8181208
Tule Elk,27/10/2018,38.17973193,-122.9573134
Tule Elk,17/05/2016,35.178233,-119.928921
Tule Elk,10/01/2018,38.04767379,-122.9671692
Tule Elk,12/01/2018,38.13666126,-121.9313788
Tule Elk,01/05/2018,35.19926333,-119.9111517
Tule Elk,12/11/2018,38.04397333,-122.9708717
Tule Elk,11/11/2018,38.03415543,-122.8713381
Tule Elk,09/11/2018,38.04255833,-122.8917389
Tule Elk,17/11/2018,35.75738791,-120.3120301
Tule Elk,06/08/2009,38.0350921,-122.9779189
Tule Elk,24/11/2018,38.14265074,-121.8921361
Tule Elk,24/11/2018,35.19662379,-119.8664208
Tule Elk,24/11/2018,35.18415812,-119.8556562
Tule Elk,23/09/2018,38.0241261,-122.8211242
Tule Elk,30/04/2012,35.19433349,-119.8635786
Tule Elk,25/11/2018,37.17474167,-120.8019683
Tule Elk,23/11/2018,38.19112314,-122.9623049
Tule Elk,13/10/2018,38.18564095,-122.9559528
Tule Elk,02/12/2018,38.02309983,-122.8653955
Tule Elk,01/12/2018,38.04115265,-122.8705477
Tule Elk,06/10/2018,38.22183849,-122.9775134
Tule Elk,07/12/2018,35.18475,-119.8635783
Tule Elk,17/02/2014,38.03975704,-122.9665369
Tule Elk,20/12/2018,37.18509735,-120.8215284
Tule Elk,22/12/2018,37.06602217,-121.0663528
Tule Elk,27/12/2018,38.18324419,-122.9543111
Tule Elk,26/12/2018,38.21072833,-122.97072
Tule Elk,29/12/2018,38.03740283,-122.89473
Tule Elk,29/12/2018,38.0722847,-122.8817367
Tule Elk,29/12/2018,38.0722847,-122.8817367
Tule Elk,29/12/2018,38.17093611,-122.9359972
Tule Elk,29/12/2018,38.106471,-122.940925
Tule Elk,29/12/2018,38.21021389,-122.9698556
Tule Elk,29/12/2018,38.21021389,-122.9698556
Tule Elk,29/12/2018,38.21023333,-122.9695889
Tule Elk,30/12/2018,35.14609,-119.7816181
Tule Elk,30/12/2018,38.22203333,-122.9769533
Tule Elk,30/12/2018,38.21065833,-122.9703917
Tule Elk,02/01/2019,38.22636667,-122.982575
Tule Elk,02/01/2019,38.17343015,-122.9443682
Tule Elk,30/12/2018,38.02771491,-122.8651448
Tule Elk,03/01/2019,39.00828633,-122.4214667
Tule Elk,08/01/2019,38.16247725,-122.9430757
Tule Elk,09/02/2015,37.28,-121.8
Tule Elk,19/11/2007,37.07985614,-118.2453857
Tule Elk,12/10/2018,37.540805,-121.8549633
Tule Elk,11/01/2019,37.1775077,-120.8025854
Tule Elk,11/01/2019,37.1775077,-120.8025854
Tule Elk,11/01/2019,37.1775077,-120.8025854
Tule Elk,11/01/2019,37.1775077,-120.8025854
Tule Elk,11/01/2019,37.1775077,-120.8025854
Tule Elk,17/02/2007,37.27450706,-118.3537732
Tule Elk,15/07/2017,38.20546875,-122.9675805
Tule Elk,26/01/2019,37.18552363,-120.8020883
Tule Elk,29/01/2019,37.03949086,-121.0560774
Tule Elk,19/02/2015,39.43151847,-122.9367067
Tule Elk,29/01/2019,39.42424388,-123.349477
Tule Elk,11/01/2019,35.333125,-119.3600467
Tule Elk,28/01/2019,37.1773,-120.8012135
Tule Elk,27/01/2019,38.08262677,-122.9120325
Tule Elk,30/12/2018,38.21082028,-122.9708258
Tule Elk,02/02/2019,38.032125,-122.8721333
Tule Elk,02/02/2019,38.04123611,-122.8663611
Tule Elk,08/02/2019,39.70110862,-123.4873732
